lemma_id,lemma,in_model,nhg_infinitive,nhg_preterite,nhg_preterite_variants,variant_selection,confidence,source_infinitive,source_preterite,curator_note
275,wëllen,yes,wellen,wellte,wellte,single,high,unimorph,unimorph-deu-d226d21,
322,wërden,yes,werden,wurde,wurde|ward,policy,policy,dwds_normalized,unimorph-deu-d226d21,ward is archaic; wurde is the modern form
15,wîchen,yes,weichen,wich,wich,single,high,dwds,unimorph-deu-d226d21,
223,wîzen,yes,wissen,wusste,wusste,single,high,dwds,unimorph-deu-d226d21,
17,ziehen,yes,ziehen,zog,zog,single,high,dwds,unimorph-deu-d226d21,
218,zîhen,yes,zeihen,zieh,zieh,single,high,dwds,unimorph-deu-d226d21,
228,bachen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
231,binten,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
276,biten,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
280,blanten,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
281,bliuwen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
282,blîchen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
292,bunnen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
294,bëlgen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
295,bëren,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
296,bîten,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
297,bîzen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
299,bûwen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
302,dièzen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
232,drièzen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
233,durfen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
234,dwahen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
310,dërben,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
311,enphâhen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
371,glîzen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
375,grînen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
326,hëlen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
238,jëhen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
139,klimmen,no,klimmen,,,,,dwds,,no UniMorph entry for the resolved infinitive 'klimmen'
383,klièben,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
239,klîben,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
331,krîgen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
240,lîben,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
241,lûchen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
351,mügen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
399,niuwen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
352,nièzen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
353,nîden,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
354,nîgen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
314,quëden,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
245,riuwen,no,,,,,,,,no modern infinitive found in DWDS or UniMorph
