form,norm,lemma,grapho,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part,base_lemma,form_normalized,base_form,stem,base_stem,vowel_alternation,cons_alternation
brenget,brenget,bringen,,1425.0,t18192,2168,8.262100661958895,77,0.2934417670529681,ENHG,73,Central German,1,bringen,brenget,brenget,breng,breng,no,no
komen,komen,kommen,,1425.0,t18220,7651,29.15744103535402,977,3.723280602737012,ENHG,3,Central German,4,kommen,komen,kompt,kom,komp,no,no
gewynnen,gewynnen,gewinnen,,1425.0,t18225,665,2.534269806366543,43,0.1638700777049043,ENHG,120,Central German,1,gewinnen,gewynen,gewynen,gewin,gewin,no,no
brenget,brenget,bringen,,1425.0,t18245,2168,8.262100661958895,77,0.2934417670529681,ENHG,73,Central German,1,bringen,brenget,brenget,breng,breng,no,no
gewynnen,gewynnen,gewinnen,,1425.0,t18287,665,2.534269806366543,43,0.1638700777049043,ENHG,120,Central German,1,gewinnen,gewynen,gewynen,gewin,gewin,no,no
gewýnnet,gewýnnet,gewinnen,,1425.0,t18321,665,2.534269806366543,11,0.0419202524361383,ENHG,120,Central German,1,gewinnen,gewýnet,gewynen,gewín,gewin,no,yes
vorſweiget,vorſweiget,verschweigen,,1425.0,t18340,50,0.1905466019824468,1,0.0038109320396489,ENHG,182,Central German,1,schweigen,vorsweiget,sweigen,vorsweig,sweig,yes,yes
kompt,kompt,kommen,,1425.0,t18369,7651,29.15744103535402,421,1.6044023886922023,ENHG,3,Central German,1,kommen,kompt,kompt,komp,komp,no,no
ſprechen,ſprechen,sprechen,,1425.0,t18404,8120,30.94476816194937,440,1.6768100974455322,ENHG,27,Central German,1,sprechen,sprechen,spricht,spreχ,spriχ,yes,no
vynt,vynt,finden,,1425.0,t18461,2689,10.24759625461599,10,0.0381093203964893,ENHG,38,Central German,1,finden,vynt,vinde,vin,vind,no,no
geboren,geboren,gebären,,1425.0,t18490,948,3.612763573587192,187,0.7126442914143513,ENHG,110,Central German,4,gebären,geboren,gebirt,gebor,gebir,yes,no
ge=,gewynnet,gewinnen,,1425.0,t18622,665,2.534269806366543,14,0.0533530485550851,ENHG,120,Central German,1,gewinnen,gewynet,gewynen,gewin,gewin,no,no
ſch=,ſchlecht,schlagen,,1500.0,t10,818,3.1173424084328305,158,0.6021272622645321,ENHG,7,Central German,1,schlagen,schlecht,schlecht,ʃleχ,ʃleχ,no,no
ſehen,ſehen,sehen,,1500.0,t30,3059,11.657641109286097,928,3.5365449327942136,ENHG,22,Central German,1,sehen,sehen,sehen,seh,seh,no,no
halt,halt,halten,,1500.0,t38,2619,9.980831011840566,266,1.0137079225466172,ENHG,24,Central German,1,halten,halt,halden,hal,hald,no,no
ver=,verderbeſt,verderben,,1500.0,t51,256,0.9755986021501278,3,0.0114327961189468,ENHG,212,Central German,1,verderben,verderbest,verderben,verderb,verderb,no,no
kum̄e/,kum̄e,zukommen,,1500.0,t72,44,0.1676810097445532,2,0.0076218640792978,ENHG,3,Central German,1,kommen,kum̄e,kompt,kum̄,komp,yes,yes
heylen,heylen,heilen,,1500.0,t80,288,1.0975484274188938,58,0.2210340582996383,ENHG,128,Central German,1,heilen,heylen,heylen,heil,heil,no,no
helffen/,helffen,helfen,,1500.0,t100,970,3.696604078459469,307,1.1699561361722235,ENHG,2,Central German,1,helfen,helfen,helfen,helf,helf,no,no
kom̄en/,kom̄en,kommen,,1500.0,t127,7651,29.15744103535402,327,1.2461747769652023,ENHG,3,Central German,4,kommen,kom̄en,kompt,kom̄,komp,no,yes
weſt,weſt,wissen,,1500.0,t152,2994,11.409930526708916,74,0.2820089709340213,ENHG,221,Central German,2,wissen,west,wisen,we,wis,yes,no
verſtu͗nde,verſtu͗nde,verstehen,,1500.0,t156,870,3.315510874494575,1,0.0038109320396489,ENHG,9,Central German,3,verstehen,verstu͗nde,stet,verstund,ste,yes,yes
geſchicht,geſchicht,geschehen,,1500.0,t169,2302,8.772765555271853,394,1.501507223621681,ENHG,118,Central German,1,geschehen,geschicht,geschen,geʃiχ,geʃ,yes,no
wer=,werffen,werfen,,1500.0,t176,441,1.680621029485181,114,0.4344462525199787,ENHG,16,Central German,1,werfen,werfen,werfen,werf,werf,no,no
