form_id,time,time_since_prev,obs_v,obs_c,dialect_group
leihen_---,1603,12.0,1,1,Upper German
leihen_---,1604,1.0,1,1,Central German
leihen_---,1608,4.0,1,1,Central German
leihen_---,1609,1.0,1,1,Upper German
leihen_---,1609,0.0,1,1,Central German
leihen_---,1611,2.0,1,1,Upper German
leihen_---,1678,67.0,1,1,Central German
leihen_---,1680,2.0,1,1,Central German
leihen_3.Sg.Pres.Ind,1547,0.0,1,1,Central German
leihen_3.Sg.Pres.Ind,1563,16.0,1,1,Upper German
leihen_3.Sg.Pres.Ind,1614,51.0,1,1,Upper German
leihen_3.Sg.Pres.Konj,1550,0.0,1,1,Central German
leihen_3.Sg.Pres.Konj,1561,11.0,1,1,Upper German
leihen_3.Sg.Pres.Konj,1571,10.0,1,1,Upper German
leihen_3.Sg.Pres.Konj,1585,14.0,1,1,Upper German
leihen_3.Sg.Pres.Konj,1607,22.0,1,1,Upper German
leihen_3.Sg.Pres.Konj,1610,3.0,1,1,Upper German
leihen_Ind.Pres.Sg.3,1378,0.0,1,1,Central German
leihen_Ind.Pres.Sg.3,1556,178.0,1,1,Upper German
leihen_Sg,1475,0.0,1,1,Central German
leihen_Sg,1475,0.0,1,1,Central German
leihen_Sg,1475,0.0,1,1,Central German
leihen_Sg,1525,50.0,1,1,Central German
leihen_Sg,1547,22.0,1,1,Central German
leihen_Sg.2,1463,0.0,1,1,Upper German
leihen_Sg.2,1499,36.0,1,1,Central German
leihen_Subj.Pres.Sg.3,1325,0.0,1,1,Upper German
leihen_Subj.Pres.Sg.3,1463,138.0,1,1,Upper German
leihen_Subj.Pres.Sg.3,1498,35.0,1,1,Upper German
leihen_Subj.Pres.Sg.3,1684,186.0,1,1,Upper German
lieren-_*Pres.Pl.3,1486,0.0,1,0,Upper German
lieren-_*Pres.Pl.3,1664,178.0,1,0,Central German
lieren-_*Pres.Pl.3,1684,20.0,1,0,Upper German
lieren-_*Pres.Sg.2,1325,0.0,1,1,Upper German
lieren-_*Pres.Sg.2,1497,172.0,1,0,Upper German
lieren-_--,1325,0.0,1,1,Low German
lieren-_--,1325,0.0,1,1,Upper German
lieren-_--,1325,0.0,1,1,Upper German
lieren-_--,1350,25.0,1,1,Upper German
lieren-_--,1350,0.0,1,1,Upper German
lieren-_--,1360,10.0,0,0,Upper German
lieren-_--,1375,15.0,1,1,Upper German
lieren-_--,1375,0.0,0,1,Upper German
lieren-_--,1375,0.0,1,1,Upper German
lieren-_--,1375,0.0,1,1,Upper German
lieren-_--,1378,3.0,1,1,Central German
lieren-_--,1390,12.0,1,1,Upper German
lieren-_--,1392,2.0,1,1,Upper German
lieren-_--,1396,4.0,1,1,Central German
lieren-_--,1400,4.0,1,1,Upper German
lieren-_--,1450,50.0,1,1,Central German
lieren-_--,1450,0.0,1,1,Upper German
lieren-_--,1450,0.0,1,1,Upper German
lieren-_--,1463,13.0,1,1,Upper German
lieren-_--,1475,12.0,1,1,Upper German
lieren-_--,1475,0.0,1,1,Upper German
lieren-_--,1475,0.0,1,1,Upper German
lieren-_--,1475,0.0,1,1,Upper German
lieren-_--,1475,0.0,1,1,Upper German
