form_id,time,time_since_prev,obs_v,obs_c,lemma_id,principal_part_id,dialect_group
leihen_1,1610,1.0,1,1,7,1,Upper German
leihen_1,1611,1.0,1,1,7,1,Upper German
leihen_1,1614,3.0,1,1,7,1,Upper German
leihen_1,1678,64.0,1,1,7,1,Central German
leihen_1,1680,2.0,1,1,7,1,Central German
leihen_1,1684,4.0,1,1,7,1,Upper German
leihen_1,1698,14.0,1,1,7,1,Upper German
leihen_3,1568,0.0,1,0,7,3,Upper German
leihen_3,1660,92.0,1,0,7,3,Upper German
leihen_3,1668,8.0,0,1,7,3,Upper German
leihen_4,1325,0.0,1,0,7,4,Upper German
leihen_4,1360,35.0,0,0,7,4,Upper German
leihen_4,1384,24.0,1,0,7,4,Upper German
leihen_4,1396,12.0,1,0,7,4,Central German
leihen_4,1463,67.0,1,0,7,4,Upper German
leihen_4,1557,94.0,1,0,7,4,Upper German
leihen_4,1584,27.0,1,0,7,4,Upper German
leihen_4,1599,15.0,1,0,7,4,Central German
leihen_4,1664,65.0,1,0,7,4,Central German
leihen_4,1678,14.0,1,0,7,4,Upper German
lieren-_1,1325,0.0,1,1,8,1,Upper German
lieren-_1,1325,0.0,1,1,8,1,Upper German
lieren-_1,1325,0.0,1,1,8,1,Upper German
lieren-_1,1360,35.0,0,0,8,1,Upper German
lieren-_1,1378,18.0,1,1,8,1,Central German
lieren-_1,1378,0.0,1,1,8,1,Central German
lieren-_1,1378,0.0,1,1,8,1,Central German
lieren-_1,1392,14.0,1,1,8,1,Upper German
lieren-_1,1392,0.0,1,1,8,1,Upper German
lieren-_1,1400,8.0,1,0,8,1,Upper German
lieren-_1,1400,0.0,1,0,8,1,Upper German
lieren-_1,1463,63.0,1,1,8,1,Upper German
lieren-_1,1475,12.0,0,0,8,1,Upper German
lieren-_1,1486,11.0,1,0,8,1,Upper German
lieren-_1,1497,11.0,1,0,8,1,Upper German
lieren-_1,1498,1.0,1,1,8,1,Upper German
lieren-_1,1547,49.0,0,0,8,1,Central German
lieren-_1,1549,2.0,1,0,8,1,Upper German
lieren-_1,1550,1.0,1,0,8,1,Central German
lieren-_1,1551,1.0,1,0,8,1,Central German
lieren-_1,1556,5.0,1,0,8,1,Upper German
lieren-_1,1556,0.0,1,0,8,1,Central German
lieren-_1,1557,1.0,1,0,8,1,Upper German
lieren-_1,1557,0.0,1,0,8,1,Upper German
lieren-_1,1557,0.0,1,0,8,1,Upper German
lieren-_1,1578,21.0,1,0,8,1,Upper German
lieren-_1,1578,0.0,1,0,8,1,Upper German
lieren-_1,1582,4.0,1,0,8,1,Upper German
lieren-_1,1604,22.0,1,0,8,1,Upper German
